Domain Name,Category,Third Party Requests,Ad Counts,First Party Cookies,Third Party Cookies,Tracking Pixels,Ad Trackers,Fingerprint Indicators
www.virginia.edu,Virginia University,37,0,0,0,1,2,No
www.cnu.edu,Virginia University,18,0,0,0,1,1,No
www.jmu.edu,Virginia University,8,0,0,0,0,1,No
www.longwood.edu,Virginia University,11,0,0,0,0,0,No
www.nsu.edu,Virginia University,21,0,4,0,0,0,No
www.odu.edu,Virginia University,9,0,0,0,0,0,No
www.radford.edu,Virginia University,11,0,1,0,0,3,No
www.uvawise.edu,Virginia University,5,0,0,0,0,0,No
www.vcu.edu,Virginia University,10,0,0,0,0,0,No
www.vmi.edu,Virginia University,10,0,0,0,0,1,No
www.vsu.edu,Virginia University,11,0,0,0,0,0,No
www.vt.edu,Virginia University,10,0,0,0,0,0,No
www.wm.edu,Virginia University,11,0,0,0,0,0,No
www.brcc.edu,Virginia University,23,0,0,0,1,1,No
www.mgcc.edu,Virginia University,11,0,0,0,1,0,No
www.danville.edu,Virginia University,13,0,0,0,0,1,No
www.germanna.edu,Virginia University,9,0,0,0,0,1,No
www.reynolds.edu,Virginia University,23,0,0,0,1,1,No
www.brightpoint.edu,Virginia University,8,0,5,0,1,1,No
www.nvcc.edu,Virginia University,3,0,,,0,0,No
www.liberty.edu,Virginia University,12,0,3,1,0,1,No
www.lynchburg.edu,Virginia University,33,0,0,0,,,
www.marymount.edu,Virginia University,16,0,0,0,,,
www.randolphcollege.edu,Virginia University,39,0,,,0,4,No
www.vwu.edu,Virginia University,8,0,1,0,1,0,No
google.com,Search/Research,0,34,0,3,0,0,No
youtube.com,Social Media,10,19,0,4,0,0,No
facebook.com,Social Media,1,8,0,2,1,0,No
twitter.com,Social Media,5,11,0,4,0,1,No
instagram.com,Social Media,14,14,0,0,0,1,No
baidu.com,Tech,0,22,0,3,0,0,No
wikipedia.org,Search/Research,2,10,2,3,0,0,No
yandex.ru,Search/Research,3,34,0,11,,,
yahoo.com,Search/Research,43,50,0,0,0,3,Yes
xvideos.com,Adult Content,4,34,0,2,0,1,No
whatsapp.com,Communication,1,16,0,3,0,0,No
pornhub.com,Adult Content,2,7,0,2,0,0,No
xnxx.com,Adult Content,4,16,0,2,0,1,No
paypal.com,Shopping,7,20,0,9,1,0,No
yahoo.co.jp,Search/Research,4,8,0,2,0,1,No
live.com,Tech,0,24,0,3,0,0,No
netflix.com,Entertainment,2,64,0,4,0,0,No
reddit.com,Social Media,15,16,0,7,0,4,No
tiktok.com,Social Media,48,36,0,3,0,5,No
openai.com,Tech,4,3,0,0,0,0,No
linkedin.com,Social Media,2,5,,,0,0,No
office.com,Tech,6,20,0,4,0,2,No
samsung.com,Tech,16,71,,,0,1,No
turbopages.org,Tech,3,18,0,1,0,0,No
vk.com,Social Media,10,9,0,5,0,0,No
xhamster.com,Adult Content,4,6,,,,,
weather.com,News,10,90,0,1,0,2,No
twitch.tv,Social Media,5,21,0,3,0,0,No
mail.ru,Communication,5,30,0,4,2,1,No
naver.com,Search/Research,7,4,0,0,0,3,No
discord.com,Social Media,8,6,,,0,2,No
bing.com,Search/Research,23,11,1,10,0,0,No
roblox.com,Entertainment,117,8,0,2,0,26,No
craigslist.com,Shopping,3,18,0,2,0,0,No
NBA.com,Entertainment,35,44,0,0,0,3,No
pinterest.com,Social Media,32,10,0,4,0,2,No
zoom.us,Communication,15,59,1,6,0,2,No
qq.com,Communication,12,16,0,0,0,2,No
duckduckgo.com,Search/Research,8,34,0,0,0,0,No
microsoft.com,Tech,0,37,0,0,0,0,No
fandom.com,Search/Research,8,15,0,3,0,2,No
quora.com,Social Media,5,14,,,0,1,No
news.yahoo.co.jp,News,6,8,0,4,0,2,No
nfl.com,Entertainment,9,51,0,0,0,4,No
ebay.com,Shopping,6,21,0,5,0,1,No
msn.com,News,4,4,0,8,0,0,No
globo.com,News,6,138,0,0,0,3,No
apple.com,Tech,9,42,0,1,0,3,No
booking.com,Shopping,39,39,0,4,0,3,No
ok.ru,Social Media,2,17,1,2,0,0,No
www.buffstreams.ai,Pirated Streaming,3,1,,,0,0,No
www.methstreams.com,Pirated Streaming,4,2,,,0,0,No
www.easybib.com,Pirated Streaming,17,19,0,5,0,1,No
www.azmovies.net,Pirated Streaming,14,20,,,0,2,No
www.solarmovie.one,Pirated Streaming,2,1,,,0,1,No
www.free123movies.quest,Pirated Streaming,1,9,,,0,0,Yes
www.himoves.sx,Pirated Streaming,1,2,,,,,
www.moviesjoy.cc,Pirated Streaming,11,14,,,0,0,No
ww4.fmovies.co,Pirated Streaming,0,7,0,0,0,0,No
www.123chill.site,Pirated Streaming,11,33,,,0,3,No
www.primewire.mx,Pirated Streaming,6,12,,,0,0,No
www.yidio.com,Pirated Streaming,4,8,,,1,0,No
www.sflix.to,Pirated Streaming,6,14,,,0,0,No
www.vexmovies.uno,Pirated Streaming,6,6,,,0,1,No
www.afdah2.com,Pirated Streaming,1,18,0,0,,,
www.filmzie.com,Pirated Streaming,4,23,0,2,0,1,No
www.veoh.com,Pirated Streaming,7,13,2,0,0,1,No
www.plex.tv,Pirated Streaming,13,83,0,0,0,1,No
www.vidcloud.store,Pirated Streaming,2,0,,,0,0,No
www.myflixerz.to,Pirated Streaming,6,11,,,0,0,No
www.viprow.nu,Pirated Streaming,3,1,0,1,1,0,No
www.vipbox.lc,Pirated Streaming,3,2,0,1,1,0,No
www.bosscast.eu,Pirated Streaming,6,16,0,3,0,0,No
www.olympicstreams.me,Pirated Streaming,3,3,0,1,1,0,No
